Álbum,Música,Duração,Popularidade,Visualizações,Letra,Prêmios
Músicas Para Churrasco (vol.2),Mina Feia,299.693,51,43454," Minha mina é feia Mas não tem problema Porque sua beleza é interior Eu vivo bem com ela Sem nenhum dilema Eu sei que ela é feia Mas eu dou valor Às vezes eu me pego Observando ela Tentando encontrar O seu melhor perfil Mas ela nem se toca Ainda faz careta Se acha muito linda Tipo miss Brasil As mina do meu bairro Ficam de bobeira De ver um cara assim Bonito como eu sou Cair na teia De uma mina feia São coisas que acontecem Por causa do amor Oh, oh, oh, oh Quem ama o feio Bonito lhe parece Oh, oh A beleza está Nos olhos de quem vê Oh, oh, oh, oh Bonito é dar valor A quem merece Oh, oh, oh, oh A beleza está Dentro de você ",0
Músicas Para Churrasco (vol.2),Tá Em Tempo,291.226,26,3885," Hey! Você sabe que eu te quero Não é de hoje que eu espero Uma chance pra falar Te amo, te amo, te amo Sei Que ainda tá em tempo E que agora é o momento Onde eu vou me declarar Te amo, te amo, te amo Vamos que o mundo gira E que a vida passa Venha ficar comigo Me dê a mão Vamos que o amor é lindo Ainda é de graça Deixa falar mais alto O seu coração Uhuhu! ",0
Músicas Para Churrasco (vol.2),Papo Reto,299.893,25,3974," Eu tenho que te dar um papo Um papo que é muito certo Todo mundo tá ligado Só você não tá esperto A tua mina é maneirona Trabalhadora, inteligente Prestativa, tranquilona E você indiferente Olha que a galera tá de olho nela De olho nela Já é comentário dentro da favela Seu Manoel da padaria Olha quem diria Já saiu falando Que você à luz do dia Azarou a tia E acabou pegando Pensa estar tirando onda Mas não passa de mané Vai tomar bola nas costas Quem avisa amigo é Olha que a galera tá de olho nela De olho nela Já é comentário dentro da favela ",0
Músicas Para Churrasco (vol.2),Motoboy,191.386,37,11408," O motoboy é da hora Faz o corre, entrega tudo Na maior agilidade Ele não deixa furo Ele não dá mole Ele cruza a cidade O motoboy é zica Leva sua vida louca Dentro do baú No seu capacete Tem um GPSQue vai de norte a sul Ele vem voando Passa buzinando Pelo corredor Coração marcado Sendo acelerado Por um grande amor Ele é o rei da pista Na comunidade Ele é fundamental Ele é solidário Se pegar pra um Pega pra geal Liga, liga, liga, liga Liga, liga, liga ele Você pode confiar ",0
Músicas Para Churrasco (vol.2),Felicidade,267.413,61,384324, Felicidade É viver na sua companhia Felicidade É estar contigo todo dia Felicidade É sentir o cheiro dessa flor Felicidade É saber que eu tenho seu amor Felicidade É viver na sua companhia Felicidade É estar contigo todo dia Felicidade É sentir o cheiro dessa flor Felicidade É saber que eu tenho seu amor Felicidade É saber de verdade Que a gente sente saudade Quando não consegue se ver Felicidade É acordar ao seu lado Tomar um café reforçado Depois sair para correr com você Felicidade É poder jogar um pano Colar no show do Caetano Cantar odara até o dia raiar Felicidade É no fim de semana Curtir uma praia bacana E um pôr do Sol de arrasar ,0
Músicas Para Churrasco (vol.2),Babydoll,-1.0,-1,3386," Mais um dia Mais um dia essa janela aberta Parece que faz de sacanagem A janela fica a noite aberta Cortina extra fina de voil Ela dorme sempre descoberta Por cima do lençol Acende um abajour azul lilás Parece que ela quer me provocar As formas são esculturais demais Eu tento não olhar Tomo um banho relaxante Realmente é impossível digo Toda hora eu me levanto e deito Eu vou dormir e não consigo Eu não sou um corujão mané bobão Muito menos um voyeur nem quero ser Mas você não sabe o que que é ou não A imagem 3 D Babydoll, babydoll, babydoll Ela usa sempre um lindo babydoll Babydoll, babydoll, babydoll Sempre um lindo babydoll ",0
Músicas Para Churrasco (vol.2),Everybody Let's Go,364.261,25,2047," Acabei de me vestir pra ver meu amor Mais bonita eu nunca vi e ela aportou Descolada, assanhada na calçada Entre drinks e siris e o por do sol Foi aõ que eu descobri o meu futebol Bobeou entrei com bola e tudo … gol Everybody let’s go, go, go Everybody let’s go, go, go Everybody let’s go, go, go Everybody let’s go, go, go Acabei de me vestir pra ver meu amor Mais bonita eu nunca vi e ela aportou Descolada, assanhada na calçada Entre drinks e siris e o por do sol Foi aí que eu descobri o meu futebol Bobeou entrei com bola e tudo … gol Everybody let’s go, go, go Everybody let’s go, go, go Everybody let’s go, go, go Everybody let’s go, go, go Let’s go, let’s go, let’s go Let’s go, let’s go, let’s go Let’s go, let’s go, let’s go ",0
Músicas Para Churrasco (vol.1),A Doida,184.626,41,410977," A doida vazou A doida vazou Nem quis meu amor Nem quis meu amor Ela se querendo toda foi chegando, doida,pra perto de mimeu fui me sentindo o cara, botei a minha cara,pensando no fim Ela, toda venenosa de vestido rosapra me seduzir Eu banquei a noite inteira, foi tanta saideirae nada de partir E ela no absolut, misturando ice, uísque e redbull Eu vivi um pesadelo,entrei em desesperoe fiquei a bangu A galera da balada tava antenada no seu proceder Eu não quis saber de nada, banquei essa parada, eu não sou de perder... Perdi. Foi clareando o dia,e eu na agonia,a banca quebrou Ela saiu de fininho,me negou carinhoe foi pegar o metrô A doida vazou A doida vazou Nem quis meu amor Nem quis meu amor Ela se querendo toda foi chegando doida Pra perto de mim Eu fui me sentindo o cara, botei a minha cara Pensando no fim Ela, toda venenosa de vestido rosa Pra me seduzir Eu banquei a noite inteira, foi tanta saideira E nada de partir E ela no absolut, misturando Ice, Whisky e Red Bull Eu vivi um pesadelo, entrei em desespero E fiquei a bangu A galera da balada tava antenada no seu proceder Eu não quis saber de nada, banquei essa parada Eu não sou de perder Perdi Foi clareando o dia E eu na agonia A banca quebrou Ela saiu de fininho Me negou carinho E foi pegar o metrô A doida vazou A doida vazou Nem quis meu amor Nem quis meu amor A doida vazou A doida vazou Nem quis meu amor Nem quis meu amor A doida vazou A doida vazou Nem quis meu amor Nem quis meu amor A doida vazou A doida vazou Nem quis meu amor Nem quis meu amor ",1
Músicas Para Churrasco (vol.1),Meu Parceiro,191.013,37,97312," Esse aí é meu parceiro Fecha comigo e nunca deixa a peteca cair Esse aí é meu parceiro Fecha comigo e nunca deixa a peteca cair Se eu precisar de uma mão Ou de uma força qualquer Ele tá junto sempre firme Não dar de mané Ele que agita o carvão, O prato, garfo,a colher, O fogo a carne Ainda chega cheio de mulher, Mulher...mulher...mulher É fiel é cem por cento É guerreiro é bom de pilha É irmão pedra noventa Ele é nosso ele é família É braço é sangue É choque é brother Malandro, amigo, cumpadre, maneiro Refrão Esse aí é meu parceiro Fecha comigo e nunca deixa a peteca cair Esse aí é meu parceiro Fecha comigo e nunca deixa a peteca cair ",1
Músicas Para Churrasco (vol.1),Véia,200.786,38,15024, Dizem que já vai voltar pra rua Como assim se acaba de chegar Eu pedi mas você continua E nem pensa em se modificar Se quiser contigo é desse jeito E eu vou ter que me adaptar Eu posso até rever meus conceitos Mas tenho o direito de reivindicar Fica mais em casa pro seu bem Minha véia Vê se para um pouco pra pensar Minha véia Vamos mergulhar na onda zen Do vai e vem Que é bom também E a gente tem amor pra dar Minha véia Vamos mergulhar na onda zen Do vai e vem Que é bom também E a gente tem amor pra dar Véia Véia A minha véia ,1
