Álbum,Música,Visualizações
Night Dreamer Direct-to-disc Sessions,Meu Brasil,848
Night Dreamer Direct-to-disc Sessions,Saravá,684
Ana e Jorge,Tanta Saudade,502
Night Dreamer Direct-to-disc Sessions,A Força,384
Ana e Jorge,Beatriz,312
Ana e Jorge,Garganta,274
Ana e Jorge,O Beat da Beata,244
Night Dreamer Direct-to-disc Sessions,Caminhão,199
Night Dreamer Direct-to-disc Sessions,Vem Me Salvar,196
Night Dreamer Direct-to-disc Sessions,Onda Carioca,90
