Álbum,Música,Popularidade
Músicas Para Churrasco (vol.2),Felicidade,61
Músicas Para Churrasco (vol.2),Mina Feia,51
Músicas Para Churrasco (vol.2),Ela É Bipolar,42
Músicas Para Churrasco (vol.2),Na Verdade Não Tá,41
Músicas Para Churrasco (vol.2),Motoboy,37
Músicas Para Churrasco (vol.2),Faixa de Contorno,34
Músicas Para Churrasco (vol.2),Tá Em Tempo,26
Músicas Para Churrasco (vol.2),Papo Reto,25
Músicas Para Churrasco (vol.2),Everybody Let's Go,25
