Álbum,Música,Duração
América Brasil,Voz Da Massa,453.48
América Brasil (Ao Vivo),Trabalhador,407.36
Perfil,Mina do Condomínio,400.626
América Brasil,Mina Do Condomínio,400.626
Night Dreamer Direct-to-disc Sessions,A Força,395.823
Perfil,Pessoal particular,387.72
América Brasil (Ao Vivo),Seu Olhar,386.986
América Brasil (Ao Vivo),Cuidar de Mim,385.933
América Brasil,Cuidar De Mim,385.933
Músicas Para Churrasco (vol.2),Everybody Let's Go,364.261
