Álbum,Música,Popularidade
América Brasil (Ao Vivo),Mina do Condomínio,60
América Brasil (Ao Vivo),São Gonça,54
América Brasil (Ao Vivo),Burguesinha,48
América Brasil (Ao Vivo),Seu Olhar,48
América Brasil (Ao Vivo),Pessoal particular,46
América Brasil (Ao Vivo),América do Norte,26
América Brasil (Ao Vivo),Cuidar de Mim,26
América Brasil (Ao Vivo),Trabalhador,25
América Brasil (Ao Vivo),Mangueira,17
