Álbum,Música,Duração
MTV Apresenta Seu Jorge,"Samba Que Nem Rita, À Dora",306.946
MTV Apresenta Seu Jorge,São Gonça,297.066
MTV Apresenta Seu Jorge,O Samba Taí,293.693
MTV Apresenta Seu Jorge,Funk Baby,264.053
MTV Apresenta Seu Jorge,Chega No Swingue,259.466
MTV Apresenta Seu Jorge,Hagua,243.893
MTV Apresenta Seu Jorge,De Alegria Raiou o Dia,240.653
MTV Apresenta Seu Jorge,Mania de Peitão,157.466
