Álbum,Música,Duração
Night Dreamer Direct-to-disc Sessions,A Força,395.823
Night Dreamer Direct-to-disc Sessions,Saravá,332.363
Night Dreamer Direct-to-disc Sessions,Caminhão,292.64
Night Dreamer Direct-to-disc Sessions,Pra Você Amigo,273.852
Night Dreamer Direct-to-disc Sessions,Meu Brasil,273.056
Night Dreamer Direct-to-disc Sessions,Onda Carioca,205.903
Night Dreamer Direct-to-disc Sessions,Vem Me Salvar,190.845
