Álbum,Música,Popularidade
Night Dreamer Direct-to-disc Sessions,Saravá,33
Night Dreamer Direct-to-disc Sessions,Pra Você Amigo,32
Night Dreamer Direct-to-disc Sessions,A Força,29
Night Dreamer Direct-to-disc Sessions,Meu Brasil,28
Night Dreamer Direct-to-disc Sessions,Vem Me Salvar,25
Night Dreamer Direct-to-disc Sessions,Caminhão,24
Night Dreamer Direct-to-disc Sessions,Onda Carioca,24
