Álbum,Música,Duração
Cru,Bola de Meia,325.16
Cru,São Gonça,297.066
Cru,Bem Querer,284.466
Cru,Tive Razão,272.133
Cru,Fiore De La Città,259.333
Cru,Chatterton,232.093
Cru,Mania de Peitão,157.466
Cru,Eu Sou Favela,147.24
