Álbum,Música,Duração
Músicas Para Churrasco (vol.1),Quem Não Quer Sou Eu,326.493
Músicas Para Churrasco (vol.1),Dois Beijinhos,254.746
Músicas Para Churrasco (vol.1),Amiga da Minha Mulher,248.08
Músicas Para Churrasco (vol.1),Japonesa,234.213
Músicas Para Churrasco (vol.1),Vizinha,215.746
Músicas Para Churrasco (vol.1),Véia,200.786
Músicas Para Churrasco (vol.1),Meu Parceiro,191.013
Músicas Para Churrasco (vol.1),Dia de Comemorar,185.48
Músicas Para Churrasco (vol.1),A Doida,184.626
