Álbum,Música,Duração
Samba Esporte Fino,Samba Que Nem Rita à Dora,306.946
Samba Esporte Fino,O Samba Taí,293.693
Samba Esporte Fino,Em Nagoya Eu Vi Eriko,285.506
Samba Esporte Fino,Mangueira,266.426
Samba Esporte Fino,Hágua,243.893
Samba Esporte Fino,De Alegria Raiou o Dia,240.653
Samba Esporte Fino,Chega no Suingue,224.266
