Álbum,Música,Duração
Ana e Jorge,São Gonça,297.066
Ana e Jorge,É Isso Aí,258.186
Ana e Jorge,Problema Social,253.826
Ana e Jorge,Zé do Caroço,251.64
Ana e Jorge,Chatterton,232.093
