Álbum,Música,Duração
América Brasil (Ao Vivo),Trabalhador,407.36
América Brasil (Ao Vivo),Mina do Condomínio,400.626
América Brasil (Ao Vivo),Pessoal particular,387.72
América Brasil (Ao Vivo),Seu Olhar,386.986
América Brasil (Ao Vivo),Cuidar de Mim,385.933
América Brasil (Ao Vivo),América do Norte,345.0
América Brasil (Ao Vivo),São Gonça,297.066
América Brasil (Ao Vivo),Mangueira,266.426
América Brasil (Ao Vivo),Burguesinha,258.186
