Álbum,Música,Popularidade
América Brasil,Mina Do Condomínio,60
América Brasil,Burguesinha,48
América Brasil,Seu Olhar,48
América Brasil,Samba Rock,42
América Brasil,América Do Norte,26
América Brasil,Cuidar De Mim,26
América Brasil,Trabalhador,25
América Brasil,Eterna Busca,24
América Brasil,Só No Chat,22
América Brasil,Voz Da Massa,21
