Álbum,Música,Popularidade
Perfil,Mina do Condomínio,60
Perfil,São Gonça,54
Perfil,Zé do Caroço,49
Perfil,Burguesinha,48
Perfil,É Isso Aí,48
Perfil,Eu Sou o Samba,48
Perfil,Seu Olhar,48
Perfil,Pessoal particular,46
Perfil,Tive Razão,29
