Álbum,Música,Visualizações
Cru,São Gonça,695557
Cru,Tive Razão,606385
Cru,Bem Querer,80162
Cru,Mania de Peitão,68944
Cru,Chatterton,56651
Cru,Bola de Meia,41069
Cru,Eu Sou Favela,30151
Cru,Don't,19345
Cru,Una Mujer,11850
Cru,Fiore De La Città,11624
