Álbum,Música,Duração
Músicas Para Churrasco (vol.2),Everybody Let's Go,364.261
Músicas Para Churrasco (vol.2),Papo Reto,299.893
Músicas Para Churrasco (vol.2),Mina Feia,299.693
Músicas Para Churrasco (vol.2),Ela É Bipolar,298.826
Músicas Para Churrasco (vol.2),Tá Em Tempo,291.226
Músicas Para Churrasco (vol.2),Felicidade,267.413
Músicas Para Churrasco (vol.2),Motoboy,191.386
Músicas Para Churrasco (vol.2),Faixa de Contorno,180.626
Músicas Para Churrasco (vol.2),Na Verdade Não Tá,175.693
