Álbum,Música,Popularidade
Cru,São Gonça,54
Cru,Bem Querer,42
Cru,Tive Razão,29
Cru,Mania de Peitão,9
Cru,Fiore De La Città,8
Cru,Eu Sou Favela,7
Cru,Bola de Meia,6
Cru,Chatterton,5
