Álbum,Música,Popularidade
Samba Esporte Fino,Chega no Suingue,25
Samba Esporte Fino,Mangueira,17
Samba Esporte Fino,O Samba Taí,16
Samba Esporte Fino,Hágua,16
Samba Esporte Fino,Samba Que Nem Rita à Dora,14
Samba Esporte Fino,Em Nagoya Eu Vi Eriko,12
Samba Esporte Fino,De Alegria Raiou o Dia,11
