Álbum,Música,Popularidade
MTV Apresenta Seu Jorge,Funk Baby,14
Samba Esporte Fino,Samba Que Nem Rita à Dora,14
MTV Apresenta Seu Jorge,"Samba Que Nem Rita, À Dora",14
Samba Esporte Fino,Em Nagoya Eu Vi Eriko,12
Samba Esporte Fino,De Alegria Raiou o Dia,11
Cru,Mania de Peitão,9
Cru,Fiore De La Città,8
Cru,Eu Sou Favela,7
Cru,Bola de Meia,6
Cru,Chatterton,5
