Álbum,Música,Duração
Perfil,Mina do Condomínio,400.626
Perfil,Pessoal particular,387.72
Perfil,Seu Olhar,386.986
Perfil,São Gonça,297.066
Perfil,Tive Razão,272.133
Perfil,Burguesinha,258.186
Perfil,É Isso Aí,258.186
Perfil,Zé do Caroço,251.64
Perfil,Eu Sou o Samba,190.4
