Álbum,Música,Duração
América Brasil,Voz Da Massa,453.48
América Brasil,Trabalhador,407.36
América Brasil,Mina Do Condomínio,400.626
América Brasil,Seu Olhar,386.986
América Brasil,Cuidar De Mim,385.933
América Brasil,América Do Norte,345.0
América Brasil,Só No Chat,279.173
América Brasil,Burguesinha,258.186
América Brasil,Samba Rock,255.093
América Brasil,Eterna Busca,139.026
