Álbum,Música,Popularidade
Músicas Para Churrasco (vol.1),Amiga da Minha Mulher,65
Músicas Para Churrasco (vol.1),Quem Não Quer Sou Eu,53
Músicas Para Churrasco (vol.1),Dois Beijinhos,42
Músicas Para Churrasco (vol.1),Vizinha,42
Músicas Para Churrasco (vol.1),A Doida,41
Músicas Para Churrasco (vol.1),Japonesa,39
Músicas Para Churrasco (vol.1),Véia,38
Músicas Para Churrasco (vol.1),Meu Parceiro,37
Músicas Para Churrasco (vol.1),Dia de Comemorar,35
