Álbum,Música,Popularidade
Músicas Para Churrasco (vol.1),Amiga da Minha Mulher,65
Músicas Para Churrasco (vol.2),Felicidade,61
Perfil,Mina do Condomínio,60
América Brasil,Mina Do Condomínio,60
Ana e Jorge,São Gonça,54
Músicas Para Churrasco (vol.1),Quem Não Quer Sou Eu,53
The Life Aquatic Studio Sessions,Rebel Rebel,51
Músicas Para Churrasco (vol.2),Mina Feia,51
Perfil,Zé do Caroço,49
Ana e Jorge,É Isso Aí,48
