,Álbum,Prêmios
Perfil,Perfil,3
Músicas Para Churrasco (vol.1),Músicas Para Churrasco (vol.1),1
Cru,Cru,1
Ana e Jorge,Ana e Jorge,1
MTV Apresenta Seu Jorge,MTV Apresenta Seu Jorge,0
