Álbum,Música,Popularidade
MTV Apresenta Seu Jorge,São Gonça,54
MTV Apresenta Seu Jorge,Chega No Swingue,42
MTV Apresenta Seu Jorge,Hagua,16
MTV Apresenta Seu Jorge,O Samba Taí,16
MTV Apresenta Seu Jorge,"Samba Que Nem Rita, À Dora",14
MTV Apresenta Seu Jorge,Funk Baby,14
MTV Apresenta Seu Jorge,De Alegria Raiou o Dia,11
MTV Apresenta Seu Jorge,Mania de Peitão,9
