Álbum,Música,Popularidade
Ana e Jorge,São Gonça,54
Ana e Jorge,Zé do Caroço,49
Ana e Jorge,É Isso Aí,48
Ana e Jorge,Problema Social,41
Ana e Jorge,Chatterton,5
