Álbum,Música,Visualizações
América Brasil,Seu Olhar,1610401
América Brasil (Ao Vivo),Burguesinha,1473017
América Brasil (Ao Vivo),Carolina,1211328
América Brasil,Mina Do Condomínio,1168800
Perfil,Mina do Condomínio,1168800
Músicas Para Churrasco (vol.1),Amiga da Minha Mulher,1148296
Músicas Para Churrasco (vol.1),Quem Não Quer Sou Eu,758993
Cru,São Gonça,695557
Cru,Tive Razão,606385
Perfil,Pessoal particular,419439
